"filename", "language", "JavaScript", "HTML", "JSON", "Markdown", "CSS", "PHP", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\public\user\scss\bootstrap\scss\bootstrap-utilities.css", "CSS", 0, 0, 0, 0, 3627, 0, 0, 0, 8, 321, 3956
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\public\user\scss\bootstrap\scss\bootstrap-utilities.scss", "SCSS", 0, 0, 0, 0, 0, 0, 6, 0, 9, 4, 19
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\public\user\scss\bootstrap\scss\bootstrap.css", "CSS", 0, 0, 0, 0, 9049, 0, 0, 0, 26, 695, 9770
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\public\user\scss\bootstrap\scss\bootstrap.scss", "SCSS", 0, 0, 0, 0, 0, 0, 36, 0, 12, 5, 53
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\public\user\scss\bootstrap\scss\forms\_floating-labels.scss", "SCSS", 0, 0, 0, 0, 0, 0, 51, 0, 4, 7, 62
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\public\user\scss\bootstrap\scss\forms\_form-check.scss", "SCSS", 0, 0, 0, 0, 0, 0, 119, 0, 9, 25, 153
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\public\user\scss\bootstrap\scss\forms\_form-control.scss", "SCSS", 0, 0, 0, 0, 0, 0, 156, 0, 33, 31, 220
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\public\user\scss\bootstrap\scss\forms\_form-range.scss", "SCSS", 0, 0, 0, 0, 0, 0, 71, 0, 7, 14, 92
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\public\user\scss\bootstrap\scss\forms\_form-select.scss", "SCSS", 0, 0, 0, 0, 0, 0, 54, 0, 6, 8, 68
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\public\user\scss\bootstrap\scss\forms\_form-text.scss", "SCSS", 0, 0, 0, 0, 0, 0, 7, 0, 3, 2, 12
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\public\user\scss\bootstrap\scss\forms\_input-group.scss", "SCSS", 0, 0, 0, 0, 0, 0, 81, 0, 21, 20, 122
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\public\user\scss\bootstrap\scss\forms\_labels.scss", "SCSS", 0, 0, 0, 0, 0, 0, 27, 0, 5, 5, 37
